,aces,break_point_opp_loss,break_point_opp_total,doubfts,first_serve_in,first_serves_won,rt_games_total,service_games,svpt_total,total_brk_faced,total_brk_saved,ace_pct,df_pct,first_serve_won_pct,broken_pct,breaking_pct,break_conversion_pct,win_pct_grass,win_pct_clay,win_pct_hard,Left_hand_win_pct,right_hand_win_pct
Steve Johnson,416,179,296,177,2480,1888,510,518,4150,290,184,0.100240964,0.042650602,0.761290323,0.204633205,0.229411765,0.39527027,0.5,0.8,0.529411765,0.857142857,0.522727273
Steven Diez,1,1,3,4,34,20,10,9,60,8,4,0.016666667,0.066666667,0.588235294,0.444444444,0.2,0.666666667,0,0,0,0,0
Tadas Babelis,8,3,3,10,115,70,35,32,203,21,7,0.039408867,0.049261084,0.608695652,0.4375,0,0,0,0,0,0,0
Tallon Griekspoor,1,2,3,2,77,47,19,17,118,17,10,0.008474576,0.016949153,0.61038961,0.411764706,0.052631579,0.333333333,0,0,0,0,0
Taro Daniel,46,67,105,52,883,567,109,107,1362,161,99,0.033773862,0.038179148,0.642129105,0.579439252,0.348623853,0.361904762,0,0.375,0.2,0,0.333333333
Tatsuma Ito,3,6,8,7,100,65,24,23,161,10,5,0.01863354,0.043478261,0.65,0.217391304,0.083333333,0.25,0,0,0,0,0
Taylor Harry Fritz,213,112,181,68,1186,869,281,287,2097,140,78,0.101573677,0.032427277,0.732715008,0.216027875,0.245551601,0.38121547,0,0,0.541666667,0.2,0.6
Temur Ismailov,17,13,17,9,115,87,30,31,189,14,8,0.08994709,0.047619048,0.756521739,0.193548387,0.133333333,0.235294118,0,0,0.5,0,0
Tennys Sandgren,37,19,30,12,359,257,62,60,584,63,39,0.063356164,0.020547945,0.715877437,0.4,0.177419355,0.366666667,0,0,0.5,0,0.25
Teymuraz Gabashvili,17,23,29,9,168,119,21,19,295,32,20,0.057627119,0.030508475,0.708333333,0.631578947,0.285714286,0.206896552,0,0,0,0,0
Thai Son Kwiatkowski,10,6,13,14,138,91,9,9,221,18,8,0.045248869,0.063348416,0.65942029,1.111111111,0.777777778,0.538461538,0,0,0,0,0
Thanasi Kokkinakis,141,32,54,68,718,543,118,116,1234,108,75,0.114262561,0.055105348,0.756267409,0.284482759,0.186440678,0.407407407,0.4,0,0.666666667,0,0.461538462
Thiago Monteiro,191,134,222,114,2164,1499,411,416,3327,307,179,0.057409077,0.034265104,0.692698706,0.307692308,0.214111922,0.396396396,0.5,0.434782609,0.166666667,0.666666667,0.266666667
Thiemo De Bakker,42,17,25,6,234,177,56,56,364,40,26,0.115384615,0.016483516,0.756410256,0.25,0.142857143,0.32,0,0.5,0,0,0.5
Thien Nguyen Hoang,10,7,15,13,157,99,41,41,284,39,21,0.035211268,0.045774648,0.630573248,0.43902439,0.195121951,0.533333333,0,0,0,0,0
Thomas Fabbiano,28,94,137,59,817,524,134,127,1279,137,69,0.021892103,0.046129789,0.641370869,0.535433071,0.320895522,0.313868613,0.333333333,0,0.230769231,0.5,0.214285714
Thomas Oger,7,7,12,3,41,28,12,13,71,8,3,0.098591549,0.042253521,0.682926829,0.384615385,0.416666667,0.416666667,0,0,0,0,0
Thomaz Bellucci,175,137,231,141,1647,1122,384,381,2813,253,139,0.062211162,0.050124422,0.681238616,0.299212598,0.244791667,0.406926407,0,0.5,0.166666667,0,0.419354839
Ti Chen,6,9,16,3,134,80,28,28,192,21,11,0.03125,0.015625,0.597014925,0.357142857,0.25,0.4375,0,0,0,0,0
Tilen Zitnik,6,3,8,13,78,51,22,21,140,15,7,0.042857143,0.092857143,0.653846154,0.380952381,0.227272727,0.625,0,0,0,0,0
Tim Smyczek,38,38,57,17,341,230,87,84,591,49,18,0.0642978,0.028764805,0.674486804,0.369047619,0.218390805,0.333333333,0,0,0.125,0,0.2
Tobias Kamke,9,10,21,14,178,128,47,47,316,30,21,0.028481013,0.044303797,0.719101124,0.191489362,0.234042553,0.523809524,0.666666667,0,0,1,0.333333333
Tomas Berdych,415,174,303,128,2410,1892,484,494,4126,261,174,0.100581677,0.031022782,0.785062241,0.17611336,0.266528926,0.425742574,0.727272727,0.666666667,0.62962963,0.727272727,0.642857143
Tomas Vaise,9,2,3,3,59,42,14,13,85,7,4,0.105882353,0.035294118,0.711864407,0.230769231,0.071428571,0.333333333,0,0,0,0,0
Tomislav Brkic,3,11,14,3,67,53,17,17,112,8,5,0.026785714,0.026785714,0.791044776,0.176470588,0.176470588,0.214285714,0,0,1,0,1
Tomislav Ternar,2,1,1,3,33,24,9,9,55,4,1,0.036363636,0.054545455,0.727272727,0.333333333,0,0,0,0,0,0,0
Tommy Haas,95,73,103,82,1047,719,240,237,1710,162,111,0.055555556,0.047953216,0.686723973,0.215189873,0.125,0.291262136,0.4,0.333333333,0,0,0.357142857
Tommy Paul,58,56,82,29,544,383,110,111,839,72,45,0.069129917,0.034564958,0.704044118,0.243243243,0.236363636,0.317073171,0,0,0.6,0.666666667,0.571428571
Tommy Robredo,38,45,85,28,781,496,155,153,1194,138,83,0.031825796,0.023450586,0.635083227,0.359477124,0.258064516,0.470588235,0,0.357142857,0.333333333,0,0.4
Tristan Lamasine,9,1,4,9,66,49,15,16,112,11,9,0.080357143,0.080357143,0.742424242,0.125,0.2,0.75,0,0,0,0,0
Vaclav Safranek,4,4,4,6,58,34,0,0,95,15,10,0.042105263,0.063157895,0.586206897,inf,0,0,0,0,0,0,0
Vasek Pospisil,202,73,114,60,992,753,255,255,1748,136,81,0.115560641,0.034324943,0.759072581,0.215686275,0.160784314,0.359649123,0.428571429,0,0.357142857,0.333333333,0.388888889
Victor Estrella,72,67,99,52,1042,719,190,189,1586,140,86,0.045397226,0.032786885,0.690019194,0.285714286,0.168421053,0.323232323,0,0.538461538,0.5,0.5,0.461538462
Viktor Durasovic,15,21,29,16,167,127,39,39,275,24,17,0.054545455,0.058181818,0.760479042,0.179487179,0.205128205,0.275862069,0,0,0,0,0.5
Viktor Galovic,7,4,9,5,37,30,13,13,64,6,2,0.109375,0.078125,0.810810811,0.307692308,0.384615385,0.555555556,0,1,0,0,1
Viktor Troicki,346,207,325,169,2384,1739,538,529,3925,360,214,0.088152866,0.043057325,0.729446309,0.275992439,0.219330855,0.363076923,0.2,0.545454545,0.472222222,0.571428571,0.431818182
Vincent Millot,38,26,50,30,435,289,78,78,679,84,54,0.055964654,0.044182622,0.664367816,0.384615385,0.307692308,0.48,0,0,0.285714286,1,0.166666667
Vladimir Ivanov,11,4,5,8,88,69,24,24,154,15,11,0.071428571,0.051948052,0.784090909,0.166666667,0.041666667,0.2,0,0,0,0,0.5
Wilfredo Gonzalez,16,18,27,13,143,105,31,31,212,19,14,0.075471698,0.061320755,0.734265734,0.161290323,0.290322581,0.333333333,0,0,1,1,1
Wishaya Trongcharoenchaikul,70,41,62,50,417,316,116,117,747,62,40,0.093708166,0.066934404,0.757793765,0.188034188,0.181034483,0.338709677,0.5,0,1,0,0.5
Yannick Hanfmann,64,59,95,27,629,430,154,151,998,93,59,0.064128257,0.027054108,0.683624801,0.225165563,0.233766234,0.378947368,0.5,0.6,0,0.666666667,0.5
Yannick Maden,9,14,21,2,128,90,31,30,203,16,9,0.044334975,0.009852217,0.703125,0.233333333,0.225806452,0.333333333,0,0,0.5,0,0.5
Yaraslau Shyla,19,5,8,3,122,96,30,29,190,15,12,0.1,0.015789474,0.786885246,0.103448276,0.1,0.375,0,0,0.5,0,0.5
Yasutaka Uchiyama,28,22,27,3,153,119,44,44,247,9,5,0.113360324,0.012145749,0.777777778,0.090909091,0.113636364,0.185185185,0,0,0.5,0,0.5
Yen Hsun Lu,120,114,182,90,1050,763,213,216,1787,142,78,0.067151651,0.050363738,0.726666667,0.296296296,0.319248826,0.373626374,0,0,0.428571429,1,0.363636364
Yibing Wu,21,18,27,9,188,129,46,46,344,30,20,0.061046512,0.026162791,0.686170213,0.217391304,0.195652174,0.333333333,0,0,0,0,0.5
Yoshihito Nishioka,22,74,129,34,856,551,202,199,1354,144,89,0.016248154,0.025110783,0.643691589,0.27638191,0.272277228,0.426356589,0,0,0.5,0.5,0.5
