,player_1,player_2,ace_pct,df_pct,first_serve_pct,broken_pct,breaking_pct,break_conversion_pct,surface_win_pct,player_hand_win_pct,parameters_value,player_2_prob,player_1_prob,Prediction,Actual
7,Andrey Kuznetsov,Pablo Carreno Busta,0.010513389,0.019261037,0.041993535,-0.02532307,-0.039409102,-0.056556893,-0.079545455,-0.062626263,0.05,0.53261194,0.46738806,0,1
8,Renzo Olivo,Diego Sebastian Schwartzman,0.024739307,0.025787415,0.024126252,-0.018479505,-0.108947468,-0.109881423,-0.024038462,-0.047619048,0.1,0.534784532,0.465215468,0,0
9,Ernests Gulbis,Karen Khachanov,0.016412928,0.023243271,-0.002515723,0.05960706,-0.045100451,-0.071111111,-0.055555556,-0.288235294,0,0.560331658,0.439668342,0,0
21,Dustin Brown,Thomaz Bellucci,0.023452129,-0.006448275,0.031018759,-0.056696172,-0.006071453,0.040565488,0.211111111,0.26984127,0,0.354248731,0.645751269,1,1
22,Mikael Ymer,Henri Laaksonen,-0.026513226,-0.029298741,0.024677419,-0.207336523,0.060869565,0,-0.333333333,-0.4,0,0.618355233,0.381644767,0,0
23,Elias Ymer,Fernando Verdasco,-0.02636489,-0.007604459,-0.07415217,0.103401944,-0.112201418,-0.095169082,-0.303030303,-0.5,0.1,0.727767283,0.272232717,0,0
26,John Isner,Bjorn Fratangelo,0.197971175,-0.007596609,0.168456708,-0.188770999,-0.087505217,-0.076479076,0.6,0.142857143,0,0.228035029,0.771964971,1,1
30,Tobias Kamke,Matthew Ebden,-0.026754727,-0.012198912,0.126984127,-0.270536153,0.157509158,0.084134615,0,0.555555556,0,0.315529188,0.684470812,1,0
34,Akira Santillan,Bjorn Fratangelo,-0.00289916,-0.001932773,-0.013604983,0.076923077,-0.194029851,-0.393939394,0,-0.428571429,0,0.555423373,0.444576627,0,0
35,Matthew Ebden,Lukas Lacko,-0.025575049,0.017660819,-0.181434599,0.34404804,-0.057225335,-0.153846154,-0.4,-0.333333333,0,0.726545015,0.273454985,0,1
36,Tobias Kamke,Adrian Mannarino,-0.049521323,0.002702325,-0.053074198,0.063418919,0.046082949,0.061439295,-0.615384615,-0.466666667,0,0.773726311,0.226273689,0,1
38,Ivo Karlovic,Denis Kudla,0.16621489,0.018343797,0.118846321,-0.207964013,-0.109731566,-0.118918919,0.527272727,0.327777778,0.02,0.227526653,0.772473347,1,1
46,Victor Estrella,Konstantin Kravchuk,-0.028861633,0.003357633,-0.042410014,0.020833333,0.061755952,0.169081126,0.4,0.35,0,0.291850434,0.708149566,1,0
