,player_1,player_2,ace_pct,df_pct,first_serve_pct,broken_pct,breaking_pct,break_conversion_pct,surface_win_pct,player_hand_win_pct,parameters_value,player_2_prob,player_1_prob,Prediction,Actual
51,Guido Pella,Albert Ramos,0.0020587758339867123,-0.001209947221527466,0.003325537244792232,-0.020503597122302156,-0.05185471598386676,-0.02010088368035801,0.11538461538461535,0.0,0.05384615384615385,0.4999045489189876,0.5000954510810124,1,1
59,Pierre Hugues Herbert,Marin Cilic,-0.03043721388254145,0.011031703810949298,-0.05798074371013062,0.056395791880106676,-0.19085345048195854,-0.13037605743939715,-0.2296650717703349,-0.3630952380952381,0.07333333333333332,0.7061332837541953,0.29386671624580474,0,0
70,Marco Cecchinato,Pierre Hugues Herbert,-0.08190319329482225,-0.0027069971166773857,-0.08944903581267216,0.20195974887050402,0.09820574162679424,0.1121693121693122,-0.3157894736842105,-0.16666666666666666,0.1,0.6474038967308162,0.3525961032691838,0,0
77,Roberto Bautista Agut,Robin Haase,-0.06080448539918031,-0.01154909982074702,-0.033802883974322295,0.013578294807117948,0.13121880948706074,0.05139116202945987,0.2272727272727273,0.1847111726046351,0.025,0.40687558085080666,0.5931244191491933,1,1
78,David Ferrer,Juan Martin Del Potro,-0.07967523130167413,0.0250048327173196,-0.059392371340010734,0.08332231404958676,0.02605480465058957,-0.008142315857361637,-0.19047619047619047,-0.2285714285714286,0.09166666666666667,0.6226646234564789,0.3773353765435211,0,0
82,Karen Khachanov,Juan Martin Del Potro,-0.0145333774947691,0.01281691799298927,-0.021649369490012282,0.04724475524475527,-0.035587882162557184,-0.011342527441598638,-0.4642857142857143,-0.25776397515527955,0.0642857142857143,0.6703599311978087,0.3296400688021913,0,0
90,Denis Shapovalov,Juan Martin Del Potro,-0.004215391584859521,0.021893534573793148,-0.011140901597029074,0.008666666666666684,-0.1044762459439221,-0.04644406080256008,-0.18796992481203006,-0.1263157894736842,0.1,0.6046425078844486,0.3953574921155514,0,0
93,Stefanos Tsitsipas,Lukas Lacko,0.0028333467774461496,-0.000897394530934903,0.03985114438134574,0.07240726300545841,-0.011491637273865069,-0.028112449799196804,-0.09790209790209793,0.0357142857142857,0.1,0.5200253632645986,0.47997463673540136,0,0
95,Michael Venus,Roberto Bautista Agut,0.04962515969884213,0.004517769760471822,0.023471557682083977,-0.10463928060494583,-0.30540427314620866,-0.2777647884030863,-0.7272727272727273,-0.6949152542372882,0.1,0.7963063570789481,0.2036936429210519,0,0
99,Karen Khachanov,Yuichi Sugita,0.05173179574714833,0.01222749879891891,0.056181697359677374,-0.054489758029581004,-0.06915281760346972,-0.053766769865841064,-0.3152173913043478,-0.1101449275362319,0.04000000000000002,0.5754197144633535,0.42458028553664656,0,1
103,Alex De Minaur,Benoit Paire,-0.06986966703198796,-0.013654390772400056,-0.12538253735657967,0.22334256978653533,-0.11719307182883346,-0.12986319652986314,-0.1523809523809524,-0.3185185185185185,0.0,0.7177065343050111,0.28229346569498887,0,1
106,Alex De Minaur,Feliciano Lopez,-0.0906592126717913,0.011991190733329098,-0.13846670115633608,0.3006537907869482,-0.03966671626246093,-0.051089799476896236,-0.03030303030303033,-0.02272727272727271,0.06666666666666668,0.6385152006890983,0.3614847993109017,0,1
111,Ricardas Berankis,Adrian Mannarino,-0.01313832816372551,0.005722967839959483,-0.035143550033534636,0.14013651877133104,-0.01836734693877551,-0.05886243386243389,-0.060975609756097615,-0.0490196078431373,0.05,0.5730328042245305,0.42696719577546943,0,0
113,Feliciano Lopez,Diego Sebastian Schwartzman,0.09682426955330306,0.002169137954534044,0.11113248587377067,-0.13017516983163233,-0.2218254060730349,-0.09093701996927804,-0.2474747474747475,-0.3661616161616161,0.05,0.6331660867008087,0.3668339132991914,0,1
115,John Millman,Gilles Muller,-0.1329896987639297,-0.030953021749778088,-0.14731081813256286,0.48031394750386,0.23124282250861294,0.05714285714285716,-0.0714285714285714,-0.6382978723404256,0.07777777777777778,0.7289038327320101,0.27109616726798985,0,0
119,Viktor Troicki,Alexandr Dolgopolov,0.0007181673143505651,0.005113964928748938,-0.015057843693340732,0.041450860738167145,-0.01928085864735624,-0.03403499028047763,-0.009259259259259243,-0.13228438228438227,0.038461538461538464,0.5581528646949043,0.4418471353050957,0,0
134,Marius Copil,Gilles Simon,0.08143861106212924,0.0053790854264520955,0.07538283327158046,-0.09805427547363033,-0.13676783473659326,-0.11183339352353433,-0.050167224080267525,-0.06258890469416789,0.05,0.519234807887071,0.48076519211292906,0,0
136,Gilles Muller,Federico Delbonis,0.1411755469969429,0.005265954709721854,0.1110776193322518,-0.09344827586206897,-0.04477223427331886,-0.034161490683229816,0.0,0.6666666666666666,0.03636363636363637,0.3128235328282182,0.6871764671717818,1,1
139,Dustin Brown,Joao Sousa,0.029256855816586037,0.032505433949508486,-0.003704662702205375,0.029370629370629345,-0.07412980968258058,-0.040208388992786566,-0.08333333333333337,-0.12476190476190475,0.042857142857142864,0.5787118889485862,0.42128811105141384,0,0
